Name,Cage/Litter,Cohort,Sex,Diet,Treatment,Age,Time,DrinkIntake(ml)
HFHS_CT_C2_L123_F,123,2,F,HFHS,Vehicle,PND79,ON,
HFHS_CT_C2_L123_M,123,2,M,HFHS,Vehicle,PND79,ON,
HFHS_CT_C2_L121_M,121,2,M,HFHS,Vehicle,PND79,ON,
HFHS_CT_C3_L125.1_F,125.1,3,F,HFHS,Vehicle,PND79,ON,
HFHS_CT_C3_L125.2_F,125.2,3,F,HFHS,Vehicle,PND79,ON,
HFHS_CT_C3_L125_M,125,3,M,HFHS,Vehicle,PND79,ON,
HFHS_CT_C4_L126_F,126,4,F,HFHS,Vehicle,PND79,ON,
HFHS_CT_C4_L126_F,126,4,M,HFHS,Vehicle,PND79,ON,
HFHS_FOS+GOS_C1_L106_F,106,1,F,HFHS,FOS+GOS,PND79,ON,
HFHS_FOS+GOS_C1_L106_M,106,1,M,HFHS,FOS+GOS,PND79,ON,
HFHS_FOS+GOS_C2_L124_F,124,2,F,HFHS,FOS+GOS,PND79,ON,
HFHS_FOS+GOS_C2_L124_M,124,2,M,HFHS,FOS+GOS,PND79,ON,1.67
HFHS_FOS+GOS_C2_L119_F,119,2,F,HFHS,FOS+GOS,PND79,ON,
HFHS_FOS+GOS_C2_L119_M,119,2,M,HFHS,FOS+GOS,PND79,ON,
HFHS_FOS+GOS_C2_L128_F,128,2,F,HFHS,FOS+GOS,PND79,ON,
HFHS_FOS+GOS_C2_L128_M,128,2,M,HFHS,FOS+GOS,PND79,ON,
HFHS_FOS+GOS_C3_L114_F,114,3,F,HFHS,FOS+GOS,PND79,ON,
HFHS_FOS+GOS_C3_L114_M,114,3,M,HFHS,FOS+GOS,PND79,ON,
HFHS_1472_C1_L115_F,115,1,F,HFHS,1472,PND79,ON,
HFHS_1472_C1_L115_M,115,1,M,HFHS,1472,PND79,ON,
HFHS_1472_C1_L111_F,111,1,F,HFHS,1472,PND79,ON,
HFHS_1472_C1_L111_M,111,1,M,HFHS,1472,PND79,ON,
HFHS_1472_C2_L120_F,120,2,F,HFHS,1472,PND79,ON,5.5
HFHS_1472_C2_L127_F,127,2,F,HFHS,1472,PND79,ON,2.5
HFHS_1472_C2_L127_M,127,2,M,HFHS,1472,PND79,ON,5
HFHS_1472_C4_L116_F,116,4,F,HFHS,1472,PND79,ON,
HFHS_1472_C4_L116_M,116,4,M,HFHS,1472,PND79,ON,
HFHS_1472_C5_L130_F,130,5,F,HFHS,1472,PND79,ON,1.25
HFHS_1472_C5_L130_M,130,5,M,HFHS,1472,PND79,ON,1
CT_CT_C1_L105_F,105,1,F,Control,Vehicle,PND79.5,OD,
CT_CT_C1_L105_M,105,1,M,Control,Vehicle,PND79.5,OD,
CT_CT_C1_L104_F,104,1,F,Control,Vehicle,PND79.5,OD,
CT_CT_C1_L104_M,104,1,M,Control,Vehicle,PND79.5,OD,
CT_CT_C2_L117_F,117,2,F,Control,Vehicle,PND79.5,OD,
CT_CT_C2_L117_M,117,2,M,Control,Vehicle,PND79.5,OD,
CT_CT_C2_L122_F,122,2,F,Control,Vehicle,PND79.5,OD,
CT_CT_C4_L129_F,129,4,F,Control,Vehicle,PND79.5,OD,
CT_CT_C4_L129_M,129,4,M,Control,Vehicle,PND79.5,OD,
CT_CT_C4_L113_F,113,4,F,Control,Vehicle,PND79.5,OD,
CT_CT_C4_L113_M,113,4,M,Control,Vehicle,PND79.5,OD,
HFHS_CT_C1_L110_M,110,1,M,HFHS,Vehicle,PND79.5,OD,
HFHS_CT_C1_L107_M,107,1,M,HFHS,Vehicle,PND79.5,OD,
HFHS_CT_C2_L121_F,121,2,F,HFHS,Vehicle,PND79.5,OD,
HFHS_CT_C2_L123_F,123,2,F,HFHS,Vehicle,PND79.5,OD,
HFHS_CT_C2_L123_M,123,2,M,HFHS,Vehicle,PND79.5,OD,
HFHS_CT_C2_L121_M,121,2,M,HFHS,Vehicle,PND79.5,OD,
HFHS_CT_C3_L125.1_F,125.1,3,F,HFHS,Vehicle,PND79.5,OD,
HFHS_CT_C3_L125.2_F,125.2,3,F,HFHS,Vehicle,PND79.5,OD,
HFHS_CT_C3_L125_M,125,3,M,HFHS,Vehicle,PND79.5,OD,1.5
HFHS_CT_C4_L126_F,126,4,F,HFHS,Vehicle,PND79.5,OD,
HFHS_CT_C4_L126_F,126,4,M,HFHS,Vehicle,PND79.5,OD,
HFHS_FOS+GOS_C1_L106_F,106,1,F,HFHS,FOS+GOS,PND79.5,OD,
HFHS_FOS+GOS_C1_L106_M,106,1,M,HFHS,FOS+GOS,PND79.5,OD,
HFHS_FOS+GOS_C2_L124_F,124,2,F,HFHS,FOS+GOS,PND79.5,OD,
HFHS_FOS+GOS_C2_L124_M,124,2,M,HFHS,FOS+GOS,PND79.5,OD,
HFHS_FOS+GOS_C2_L119_F,119,2,F,HFHS,FOS+GOS,PND79.5,OD,0.83
HFHS_FOS+GOS_C2_L119_M,119,2,M,HFHS,FOS+GOS,PND79.5,OD,1
HFHS_FOS+GOS_C2_L128_F,128,2,F,HFHS,FOS+GOS,PND79.5,OD,1
HFHS_FOS+GOS_C2_L128_M,128,2,M,HFHS,FOS+GOS,PND79.5,OD,
HFHS_FOS+GOS_C3_L114_F,114,3,F,HFHS,FOS+GOS,PND79.5,OD,
HFHS_FOS+GOS_C3_L114_M,114,3,M,HFHS,FOS+GOS,PND79.5,OD,1.67
HFHS_1472_C1_L115_F,115,1,F,HFHS,1472,PND79.5,OD,
HFHS_1472_C1_L115_M,115,1,M,HFHS,1472,PND79.5,OD,
HFHS_1472_C1_L111_F,111,1,F,HFHS,1472,PND79.5,OD,
HFHS_1472_C1_L111_M,111,1,M,HFHS,1472,PND79.5,OD,
HFHS_1472_C2_L120_F,120,2,F,HFHS,1472,PND79.5,OD,1.25
HFHS_1472_C2_L127_F,127,2,F,HFHS,1472,PND79.5,OD,1.5
HFHS_1472_C2_L127_M,127,2,M,HFHS,1472,PND79.5,OD,1.83
HFHS_1472_C4_L116_F,116,4,F,HFHS,1472,PND79.5,OD,
HFHS_1472_C4_L116_M,116,4,M,HFHS,1472,PND79.5,OD,
HFHS_1472_C5_L130_F,130,5,F,HFHS,1472,PND79.5,OD,
HFHS_1472_C5_L130_M,130,5,M,HFHS,1472,PND79.5,OD,
CT_CT_C1_L105_F,105,1,F,Control,Vehicle,PND80,ON,
CT_CT_C1_L105_M,105,1,M,Control,Vehicle,PND80,ON,
CT_CT_C1_L104_F,104,1,F,Control,Vehicle,PND80,ON,
CT_CT_C1_L104_M,104,1,M,Control,Vehicle,PND80,ON,
CT_CT_C2_L117_F,117,2,F,Control,Vehicle,PND80,ON,2
CT_CT_C2_L117_M,117,2,M,Control,Vehicle,PND80,ON,3
CT_CT_C2_L122_F,122,2,F,Control,Vehicle,PND80,ON,4
CT_CT_C4_L129_F,129,4,F,Control,Vehicle,PND80,ON,
CT_CT_C4_L129_M,129,4,M,Control,Vehicle,PND80,ON,
CT_CT_C4_L113_F,113,4,F,Control,Vehicle,PND80,ON,
CT_CT_C4_L113_M,113,4,M,Control,Vehicle,PND80,ON,
HFHS_CT_C1_L110_M,110,1,M,HFHS,Vehicle,PND80,ON,
HFHS_CT_C1_L107_M,107,1,M,HFHS,Vehicle,PND80,ON,
HFHS_CT_C2_L121_F,121,2,F,HFHS,Vehicle,PND80,ON,
HFHS_CT_C2_L123_F,123,2,F,HFHS,Vehicle,PND80,ON,
HFHS_CT_C2_L123_M,123,2,M,HFHS,Vehicle,PND80,ON,
HFHS_CT_C2_L121_M,121,2,M,HFHS,Vehicle,PND80,ON,
HFHS_CT_C3_L125.1_F,125.1,3,F,HFHS,Vehicle,PND80,ON,
HFHS_CT_C3_L125.2_F,125.2,3,F,HFHS,Vehicle,PND80,ON,
HFHS_CT_C3_L125_M,125,3,M,HFHS,Vehicle,PND80,ON,
HFHS_CT_C4_L126_F,126,4,F,HFHS,Vehicle,PND80,ON,
HFHS_CT_C4_L126_F,126,4,M,HFHS,Vehicle,PND80,ON,
HFHS_FOS+GOS_C1_L106_F,106,1,F,HFHS,FOS+GOS,PND80,ON,
HFHS_FOS+GOS_C1_L106_M,106,1,M,HFHS,FOS+GOS,PND80,ON,
HFHS_FOS+GOS_C2_L124_F,124,2,F,HFHS,FOS+GOS,PND80,ON,
HFHS_FOS+GOS_C2_L124_M,124,2,M,HFHS,FOS+GOS,PND80,ON,
HFHS_FOS+GOS_C2_L119_F,119,2,F,HFHS,FOS+GOS,PND80,ON,
HFHS_FOS+GOS_C2_L119_M,119,2,M,HFHS,FOS+GOS,PND80,ON,
HFHS_FOS+GOS_C2_L128_F,128,2,F,HFHS,FOS+GOS,PND80,ON,
HFHS_FOS+GOS_C2_L128_M,128,2,M,HFHS,FOS+GOS,PND80,ON,
HFHS_FOS+GOS_C3_L114_F,114,3,F,HFHS,FOS+GOS,PND80,ON,
HFHS_FOS+GOS_C3_L114_M,114,3,M,HFHS,FOS+GOS,PND80,ON,
HFHS_1472_C1_L115_F,115,1,F,HFHS,1472,PND80,ON,4.67
HFHS_1472_C1_L115_M,115,1,M,HFHS,1472,PND80,ON,
HFHS_1472_C1_L111_F,111,1,F,HFHS,1472,PND80,ON,3
HFHS_1472_C1_L111_M,111,1,M,HFHS,1472,PND80,ON,
HFHS_1472_C2_L120_F,120,2,F,HFHS,1472,PND80,ON,
HFHS_1472_C2_L127_F,127,2,F,HFHS,1472,PND80,ON,
HFHS_1472_C2_L127_M,127,2,M,HFHS,1472,PND80,ON,
HFHS_1472_C4_L116_F,116,4,F,HFHS,1472,PND80,ON,
HFHS_1472_C4_L116_M,116,4,M,HFHS,1472,PND80,ON,
HFHS_1472_C5_L130_F,130,5,F,HFHS,1472,PND80,ON,
HFHS_1472_C5_L130_M,130,5,M,HFHS,1472,PND80,ON,
CT_CT_C1_L105_F,105,1,F,Control,Vehicle,PND80.5,OD,
CT_CT_C1_L105_M,105,1,M,Control,Vehicle,PND80.5,OD,
CT_CT_C1_L104_F,104,1,F,Control,Vehicle,PND80.5,OD,1.25
CT_CT_C1_L104_M,104,1,M,Control,Vehicle,PND80.5,OD,2
CT_CT_C2_L117_F,117,2,F,Control,Vehicle,PND80.5,OD,1.5
CT_CT_C2_L117_M,117,2,M,Control,Vehicle,PND80.5,OD,1.25
CT_CT_C2_L122_F,122,2,F,Control,Vehicle,PND80.5,OD,1.5
CT_CT_C4_L129_F,129,4,F,Control,Vehicle,PND80.5,OD,
CT_CT_C4_L129_M,129,4,M,Control,Vehicle,PND80.5,OD,
CT_CT_C4_L113_F,113,4,F,Control,Vehicle,PND80.5,OD,
CT_CT_C4_L113_M,113,4,M,Control,Vehicle,PND80.5,OD,
HFHS_CT_C1_L110_M,110,1,M,HFHS,Vehicle,PND80.5,OD,
HFHS_CT_C1_L107_M,107,1,M,HFHS,Vehicle,PND80.5,OD,
HFHS_CT_C2_L121_F,121,2,F,HFHS,Vehicle,PND80.5,OD,0.75
HFHS_CT_C2_L123_F,123,2,F,HFHS,Vehicle,PND80.5,OD,
HFHS_CT_C2_L123_M,123,2,M,HFHS,Vehicle,PND80.5,OD,1.25
HFHS_CT_C2_L121_M,121,2,M,HFHS,Vehicle,PND80.5,OD,1
HFHS_CT_C3_L125.1_F,125.1,3,F,HFHS,Vehicle,PND80.5,OD,
HFHS_CT_C3_L125.2_F,125.2,3,F,HFHS,Vehicle,PND80.5,OD,
HFHS_CT_C3_L125_M,125,3,M,HFHS,Vehicle,PND80.5,OD,
HFHS_CT_C4_L126_F,126,4,F,HFHS,Vehicle,PND80.5,OD,
HFHS_CT_C4_L126_F,126,4,M,HFHS,Vehicle,PND80.5,OD,
HFHS_FOS+GOS_C1_L106_F,106,1,F,HFHS,FOS+GOS,PND80.5,OD,
HFHS_FOS+GOS_C1_L106_M,106,1,M,HFHS,FOS+GOS,PND80.5,OD,
HFHS_FOS+GOS_C2_L124_F,124,2,F,HFHS,FOS+GOS,PND80.5,OD,2.67
HFHS_FOS+GOS_C2_L124_M,124,2,M,HFHS,FOS+GOS,PND80.5,OD,
HFHS_FOS+GOS_C2_L119_F,119,2,F,HFHS,FOS+GOS,PND80.5,OD,
HFHS_FOS+GOS_C2_L119_M,119,2,M,HFHS,FOS+GOS,PND80.5,OD,
HFHS_FOS+GOS_C2_L128_F,128,2,F,HFHS,FOS+GOS,PND80.5,OD,
HFHS_FOS+GOS_C2_L128_M,128,2,M,HFHS,FOS+GOS,PND80.5,OD,1
HFHS_FOS+GOS_C3_L114_F,114,3,F,HFHS,FOS+GOS,PND80.5,OD,
HFHS_FOS+GOS_C3_L114_M,114,3,M,HFHS,FOS+GOS,PND80.5,OD,
HFHS_1472_C1_L115_F,115,1,F,HFHS,1472,PND80.5,OD,
HFHS_1472_C1_L115_M,115,1,M,HFHS,1472,PND80.5,OD,
HFHS_1472_C1_L111_F,111,1,F,HFHS,1472,PND80.5,OD,1.5
HFHS_1472_C1_L111_M,111,1,M,HFHS,1472,PND80.5,OD,
HFHS_1472_C2_L120_F,120,2,F,HFHS,1472,PND80.5,OD,
HFHS_1472_C2_L127_F,127,2,F,HFHS,1472,PND80.5,OD,
HFHS_1472_C2_L127_M,127,2,M,HFHS,1472,PND80.5,OD,
HFHS_1472_C4_L116_F,116,4,F,HFHS,1472,PND80.5,OD,
HFHS_1472_C4_L116_M,116,4,M,HFHS,1472,PND80.5,OD,
HFHS_1472_C5_L130_F,130,5,F,HFHS,1472,PND80.5,OD,
HFHS_1472_C5_L130_M,130,5,M,HFHS,1472,PND80.5,OD,
CT_CT_C1_L105_F,105,1,F,Control,Vehicle,PND81,ON,1.5
CT_CT_C1_L105_M,105,1,M,Control,Vehicle,PND81,ON,5.13
CT_CT_C1_L104_F,104,1,F,Control,Vehicle,PND81,ON,1.75
CT_CT_C1_L104_M,104,1,M,Control,Vehicle,PND81,ON,2.5
CT_CT_C2_L117_F,117,2,F,Control,Vehicle,PND81,ON,
CT_CT_C2_L117_M,117,2,M,Control,Vehicle,PND81,ON,
CT_CT_C2_L122_F,122,2,F,Control,Vehicle,PND81,ON,
CT_CT_C4_L129_F,129,4,F,Control,Vehicle,PND81,ON,
CT_CT_C4_L129_M,129,4,M,Control,Vehicle,PND81,ON,
CT_CT_C4_L113_F,113,4,F,Control,Vehicle,PND81,ON,
CT_CT_C4_L113_M,113,4,M,Control,Vehicle,PND81,ON,
HFHS_CT_C1_L110_M,110,1,M,HFHS,Vehicle,PND81,ON,
HFHS_CT_C1_L107_M,107,1,M,HFHS,Vehicle,PND81,ON,
HFHS_CT_C2_L121_F,121,2,F,HFHS,Vehicle,PND81,ON,
HFHS_CT_C2_L123_F,123,2,F,HFHS,Vehicle,PND81,ON,
HFHS_CT_C2_L123_M,123,2,M,HFHS,Vehicle,PND81,ON,
HFHS_CT_C2_L121_M,121,2,M,HFHS,Vehicle,PND81,ON,
HFHS_CT_C3_L125.1_F,125.1,3,F,HFHS,Vehicle,PND81,ON,2
HFHS_CT_C3_L125.2_F,125.2,3,F,HFHS,Vehicle,PND81,ON,0.83
HFHS_CT_C3_L125_M,125,3,M,HFHS,Vehicle,PND81,ON,
HFHS_CT_C4_L126_F,126,4,F,HFHS,Vehicle,PND81,ON,
HFHS_CT_C4_L126_F,126,4,M,HFHS,Vehicle,PND81,ON,
HFHS_FOS+GOS_C1_L106_F,106,1,F,HFHS,FOS+GOS,PND81,ON,
HFHS_FOS+GOS_C1_L106_M,106,1,M,HFHS,FOS+GOS,PND81,ON,
HFHS_FOS+GOS_C2_L124_F,124,2,F,HFHS,FOS+GOS,PND81,ON,
HFHS_FOS+GOS_C2_L124_M,124,2,M,HFHS,FOS+GOS,PND81,ON,
HFHS_FOS+GOS_C2_L119_F,119,2,F,HFHS,FOS+GOS,PND81,ON,
HFHS_FOS+GOS_C2_L119_M,119,2,M,HFHS,FOS+GOS,PND81,ON,
HFHS_FOS+GOS_C2_L128_F,128,2,F,HFHS,FOS+GOS,PND81,ON,
HFHS_FOS+GOS_C2_L128_M,128,2,M,HFHS,FOS+GOS,PND81,ON,
HFHS_FOS+GOS_C3_L114_F,114,3,F,HFHS,FOS+GOS,PND81,ON,
HFHS_FOS+GOS_C3_L114_M,114,3,M,HFHS,FOS+GOS,PND81,ON,
HFHS_1472_C1_L115_F,115,1,F,HFHS,1472,PND81,ON,3.17
HFHS_1472_C1_L115_M,115,1,M,HFHS,1472,PND81,ON,3.5
HFHS_1472_C1_L111_F,111,1,F,HFHS,1472,PND81,ON,4
HFHS_1472_C1_L111_M,111,1,M,HFHS,1472,PND81,ON,6.25
HFHS_1472_C2_L120_F,120,2,F,HFHS,1472,PND81,ON,
HFHS_1472_C2_L127_F,127,2,F,HFHS,1472,PND81,ON,
HFHS_1472_C2_L127_M,127,2,M,HFHS,1472,PND81,ON,
HFHS_1472_C4_L116_F,116,4,F,HFHS,1472,PND81,ON,
HFHS_1472_C4_L116_M,116,4,M,HFHS,1472,PND81,ON,
HFHS_1472_C5_L130_F,130,5,F,HFHS,1472,PND81,ON,
HFHS_1472_C5_L130_M,130,5,M,HFHS,1472,PND81,ON,
CT_CT_C1_L105_F,105,1,F,Control,Vehicle,PND81.5,OD,4.5
CT_CT_C1_L105_M,105,1,M,Control,Vehicle,PND81.5,OD,3.63
CT_CT_C1_L104_F,104,1,F,Control,Vehicle,PND81.5,OD,1.5
CT_CT_C1_L104_M,104,1,M,Control,Vehicle,PND81.5,OD,1.25
CT_CT_C2_L117_F,117,2,F,Control,Vehicle,PND81.5,OD,
CT_CT_C2_L117_M,117,2,M,Control,Vehicle,PND81.5,OD,
CT_CT_C2_L122_F,122,2,F,Control,Vehicle,PND81.5,OD,
CT_CT_C4_L129_F,129,4,F,Control,Vehicle,PND81.5,OD,
CT_CT_C4_L129_M,129,4,M,Control,Vehicle,PND81.5,OD,
CT_CT_C4_L113_F,113,4,F,Control,Vehicle,PND81.5,OD,
CT_CT_C4_L113_M,113,4,M,Control,Vehicle,PND81.5,OD,
HFHS_CT_C1_L110_M,110,1,M,HFHS,Vehicle,PND81.5,OD,
HFHS_CT_C1_L107_M,107,1,M,HFHS,Vehicle,PND81.5,OD,6
HFHS_CT_C2_L121_F,121,2,F,HFHS,Vehicle,PND81.5,OD,0.75
HFHS_CT_C2_L123_F,123,2,F,HFHS,Vehicle,PND81.5,OD,1.5
HFHS_CT_C2_L123_M,123,2,M,HFHS,Vehicle,PND81.5,OD,
HFHS_CT_C2_L121_M,121,2,M,HFHS,Vehicle,PND81.5,OD,
HFHS_CT_C3_L125.1_F,125.1,3,F,HFHS,Vehicle,PND81.5,OD,
HFHS_CT_C3_L125.2_F,125.2,3,F,HFHS,Vehicle,PND81.5,OD,
HFHS_CT_C3_L125_M,125,3,M,HFHS,Vehicle,PND81.5,OD,
HFHS_CT_C4_L126_F,126,4,F,HFHS,Vehicle,PND81.5,OD,
HFHS_CT_C4_L126_F,126,4,M,HFHS,Vehicle,PND81.5,OD,
HFHS_FOS+GOS_C1_L106_F,106,1,F,HFHS,FOS+GOS,PND81.5,OD,1.5
HFHS_FOS+GOS_C1_L106_M,106,1,M,HFHS,FOS+GOS,PND81.5,OD,1.75
HFHS_FOS+GOS_C2_L124_F,124,2,F,HFHS,FOS+GOS,PND81.5,OD,
HFHS_FOS+GOS_C2_L124_M,124,2,M,HFHS,FOS+GOS,PND81.5,OD,1
HFHS_FOS+GOS_C2_L119_F,119,2,F,HFHS,FOS+GOS,PND81.5,OD,
HFHS_FOS+GOS_C2_L119_M,119,2,M,HFHS,FOS+GOS,PND81.5,OD,
HFHS_FOS+GOS_C2_L128_F,128,2,F,HFHS,FOS+GOS,PND81.5,OD,
HFHS_FOS+GOS_C2_L128_M,128,2,M,HFHS,FOS+GOS,PND81.5,OD,
HFHS_FOS+GOS_C3_L114_F,114,3,F,HFHS,FOS+GOS,PND81.5,OD,
HFHS_FOS+GOS_C3_L114_M,114,3,M,HFHS,FOS+GOS,PND81.5,OD,
HFHS_1472_C1_L115_F,115,1,F,HFHS,1472,PND81.5,OD,1.5
HFHS_1472_C1_L115_M,115,1,M,HFHS,1472,PND81.5,OD,1.25
HFHS_1472_C1_L111_F,111,1,F,HFHS,1472,PND81.5,OD,1.5
HFHS_1472_C1_L111_M,111,1,M,HFHS,1472,PND81.5,OD,1
HFHS_1472_C2_L120_F,120,2,F,HFHS,1472,PND81.5,OD,
HFHS_1472_C2_L127_F,127,2,F,HFHS,1472,PND81.5,OD,
HFHS_1472_C2_L127_M,127,2,M,HFHS,1472,PND81.5,OD,
HFHS_1472_C4_L116_F,116,4,F,HFHS,1472,PND81.5,OD,
HFHS_1472_C4_L116_M,116,4,M,HFHS,1472,PND81.5,OD,
HFHS_1472_C5_L130_F,130,5,F,HFHS,1472,PND81.5,OD,2.5
HFHS_1472_C5_L130_M,130,5,M,HFHS,1472,PND81.5,OD,2.33
CT_CT_C1_L105_F,105,1,F,Control,Vehicle,PND82,ON,1.5
CT_CT_C1_L105_M,105,1,M,Control,Vehicle,PND82,ON,0.5
CT_CT_C1_L104_F,104,1,F,Control,Vehicle,PND82,ON,2.5
CT_CT_C1_L104_M,104,1,M,Control,Vehicle,PND82,ON,3.5
CT_CT_C2_L117_F,117,2,F,Control,Vehicle,PND82,ON,
CT_CT_C2_L117_M,117,2,M,Control,Vehicle,PND82,ON,
CT_CT_C2_L122_F,122,2,F,Control,Vehicle,PND82,ON,
CT_CT_C4_L129_F,129,4,F,Control,Vehicle,PND82,ON,
CT_CT_C4_L129_M,129,4,M,Control,Vehicle,PND82,ON,
CT_CT_C4_L113_F,113,4,F,Control,Vehicle,PND82,ON,
CT_CT_C4_L113_M,113,4,M,Control,Vehicle,PND82,ON,
HFHS_CT_C1_L110_M,110,1,M,HFHS,Vehicle,PND82,ON,1
HFHS_CT_C1_L107_M,107,1,M,HFHS,Vehicle,PND82,ON,3.25
HFHS_CT_C2_L121_F,121,2,F,HFHS,Vehicle,PND82,ON,
HFHS_CT_C2_L123_F,123,2,F,HFHS,Vehicle,PND82,ON,
HFHS_CT_C2_L123_M,123,2,M,HFHS,Vehicle,PND82,ON,
HFHS_CT_C2_L121_M,121,2,M,HFHS,Vehicle,PND82,ON,
HFHS_CT_C3_L125.1_F,125.1,3,F,HFHS,Vehicle,PND82,ON,
HFHS_CT_C3_L125.2_F,125.2,3,F,HFHS,Vehicle,PND82,ON,
HFHS_CT_C3_L125_M,125,3,M,HFHS,Vehicle,PND82,ON,
HFHS_CT_C4_L126_F,126,4,F,HFHS,Vehicle,PND82,ON,
HFHS_CT_C4_L126_F,126,4,M,HFHS,Vehicle,PND82,ON,
HFHS_FOS+GOS_C1_L106_F,106,1,F,HFHS,FOS+GOS,PND82,ON,3
HFHS_FOS+GOS_C1_L106_M,106,1,M,HFHS,FOS+GOS,PND82,ON,3.75
HFHS_FOS+GOS_C2_L124_F,124,2,F,HFHS,FOS+GOS,PND82,ON,
HFHS_FOS+GOS_C2_L124_M,124,2,M,HFHS,FOS+GOS,PND82,ON,
HFHS_FOS+GOS_C2_L119_F,119,2,F,HFHS,FOS+GOS,PND82,ON,
HFHS_FOS+GOS_C2_L119_M,119,2,M,HFHS,FOS+GOS,PND82,ON,
HFHS_FOS+GOS_C2_L128_F,128,2,F,HFHS,FOS+GOS,PND82,ON,
HFHS_FOS+GOS_C2_L128_M,128,2,M,HFHS,FOS+GOS,PND82,ON,
HFHS_FOS+GOS_C3_L114_F,114,3,F,HFHS,FOS+GOS,PND82,ON,
HFHS_FOS+GOS_C3_L114_M,114,3,M,HFHS,FOS+GOS,PND82,ON,
HFHS_1472_C1_L115_F,115,1,F,HFHS,1472,PND82,ON,4.17
HFHS_1472_C1_L115_M,115,1,M,HFHS,1472,PND82,ON,3
HFHS_1472_C1_L111_F,111,1,F,HFHS,1472,PND82,ON,6
HFHS_1472_C1_L111_M,111,1,M,HFHS,1472,PND82,ON,6.75
HFHS_1472_C2_L120_F,120,2,F,HFHS,1472,PND82,ON,3
HFHS_1472_C2_L127_F,127,2,F,HFHS,1472,PND82,ON,6
HFHS_1472_C2_L127_M,127,2,M,HFHS,1472,PND82,ON,4.67
HFHS_1472_C4_L116_F,116,4,F,HFHS,1472,PND82,ON,
HFHS_1472_C4_L116_M,116,4,M,HFHS,1472,PND82,ON,
HFHS_1472_C5_L130_F,130,5,F,HFHS,1472,PND82,ON,1.25
HFHS_1472_C5_L130_M,130,5,M,HFHS,1472,PND82,ON,1
CT_CT_C1_L105_F,105,1,F,Control,Vehicle,PND82.5,OD,2.75
CT_CT_C1_L105_M,105,1,M,Control,Vehicle,PND82.5,OD,3.75
CT_CT_C1_L104_F,104,1,F,Control,Vehicle,PND82.5,OD,1.5
CT_CT_C1_L104_M,104,1,M,Control,Vehicle,PND82.5,OD,1.25
CT_CT_C2_L117_F,117,2,F,Control,Vehicle,PND82.5,OD,
CT_CT_C2_L117_M,117,2,M,Control,Vehicle,PND82.5,OD,
CT_CT_C2_L122_F,122,2,F,Control,Vehicle,PND82.5,OD,
CT_CT_C4_L129_F,129,4,F,Control,Vehicle,PND82.5,OD,
CT_CT_C4_L129_M,129,4,M,Control,Vehicle,PND82.5,OD,
CT_CT_C4_L113_F,113,4,F,Control,Vehicle,PND82.5,OD,
CT_CT_C4_L113_M,113,4,M,Control,Vehicle,PND82.5,OD,
HFHS_CT_C1_L110_M,110,1,M,HFHS,Vehicle,PND82.5,OD,3.5
HFHS_CT_C1_L107_M,107,1,M,HFHS,Vehicle,PND82.5,OD,1.25
HFHS_CT_C2_L121_F,121,2,F,HFHS,Vehicle,PND82.5,OD,
HFHS_CT_C2_L123_F,123,2,F,HFHS,Vehicle,PND82.5,OD,
HFHS_CT_C2_L123_M,123,2,M,HFHS,Vehicle,PND82.5,OD,
HFHS_CT_C2_L121_M,121,2,M,HFHS,Vehicle,PND82.5,OD,
HFHS_CT_C3_L125.1_F,125.1,3,F,HFHS,Vehicle,PND82.5,OD,
HFHS_CT_C3_L125.2_F,125.2,3,F,HFHS,Vehicle,PND82.5,OD,
HFHS_CT_C3_L125_M,125,3,M,HFHS,Vehicle,PND82.5,OD,
HFHS_CT_C4_L126_F,126,4,F,HFHS,Vehicle,PND82.5,OD,
HFHS_CT_C4_L126_F,126,4,M,HFHS,Vehicle,PND82.5,OD,
HFHS_FOS+GOS_C1_L106_F,106,1,F,HFHS,FOS+GOS,PND82.5,OD,1.5
HFHS_FOS+GOS_C1_L106_M,106,1,M,HFHS,FOS+GOS,PND82.5,OD,1
HFHS_FOS+GOS_C2_L124_F,124,2,F,HFHS,FOS+GOS,PND82.5,OD,
HFHS_FOS+GOS_C2_L124_M,124,2,M,HFHS,FOS+GOS,PND82.5,OD,
HFHS_FOS+GOS_C2_L119_F,119,2,F,HFHS,FOS+GOS,PND82.5,OD,0.67
HFHS_FOS+GOS_C2_L119_M,119,2,M,HFHS,FOS+GOS,PND82.5,OD,0.5
HFHS_FOS+GOS_C2_L128_F,128,2,F,HFHS,FOS+GOS,PND82.5,OD,1.17
HFHS_FOS+GOS_C2_L128_M,128,2,M,HFHS,FOS+GOS,PND82.5,OD,
HFHS_FOS+GOS_C3_L114_F,114,3,F,HFHS,FOS+GOS,PND82.5,OD,
HFHS_FOS+GOS_C3_L114_M,114,3,M,HFHS,FOS+GOS,PND82.5,OD,
HFHS_1472_C1_L115_F,115,1,F,HFHS,1472,PND82.5,OD,1
HFHS_1472_C1_L115_M,115,1,M,HFHS,1472,PND82.5,OD,2
HFHS_1472_C1_L111_F,111,1,F,HFHS,1472,PND82.5,OD,2
HFHS_1472_C1_L111_M,111,1,M,HFHS,1472,PND82.5,OD,2
HFHS_1472_C2_L120_F,120,2,F,HFHS,1472,PND82.5,OD,2
HFHS_1472_C2_L127_F,127,2,F,HFHS,1472,PND82.5,OD,1.75
